ID,Age,Gender,Race,City,State,Latitude,Longitude,Cause_of_Death,Mental_Illness,Year
18746,45,Male,African-American/Black,Scottsdale,AZ,33.509394,-111.9086866,Gunshot,Unknown,2015
18747,38,Male,European-American/White,Nutley,NJ,40.8272845,-74.152343,Gunshot,Yes,2015
18748,37,Female,European-American/White,Nutley,NJ,40.8272845,-74.152343,Gunshot,No,2015
18749,33,Male,European-American/White,Ville Platte,LA,30.748445,-92.4400369,Gunshot,No,2015
18750,69,Male,European-American/White,Crab Orchard,KY,37.4671684,-84.5152709,Vehicle,No,2015
18751,24,Male,European-American/White,Bloomington,MN,44.8257432,-93.3579193,Gunshot,Yes,2015
18752,36,Male,Hispanic/Latino,Fairfield,CA,38.2654569,-121.9973075,Gunshot,Drug or alcohol use,2015
18753,23,Male,African-American/Black,Tulsa,OK,36.1467098,-95.9925863,Gunshot,No,2015
18754,23,Male,African-American/Black,Houston,TX,29.977958,-95.437389,Vehicle,No,2015
18755,57,Male,Asian/Pacific Islander,Brooklyn Center,MN,45.060207,-93.3192976,Tasered,No,2015
18756,41,Male,European-American/White,Mabank,TX,32.407081,-96.064569,Gunshot,No,2015
18757,26,Male,Hispanic/Latino,Houston,TX,29.6125905,-95.2140635,Gunshot,No,2015
18758,48,Male,Race unspecified,Fremont,CA,37.5864513,-122.0599902,Gunshot,No,2015
18759,21,Male,African-American/Black,Muskogee,OK,35.7671755,-95.3934845,Gunshot,No,2015
18760,27,Male,Hispanic/Latino,Fort Worth,TX,32.8103766,-97.3345051,Gunshot,No,2015
18761,24,Male,Hispanic/Latino,Los Angeles,CA,34.0382621,-118.2327262,Gunshot,Unknown,2015
18762,67,Male,European-American/White,Gunlock,KY,37.5358631,-82.9207172,Gunshot,No,2015
18763,32,Male,European-American/White,Maricopa,AZ,33.0838932,-112.0380796,Gunshot,Unknown,2015
18764,20,Female,European-American/White,St. Louis,MO,38.6462722,-90.2387005,Vehicle,Drug or alcohol use,2015
18765,18,Female,European-American/White,St. Louis,MO,38.6462722,-90.2387005,Vehicle,Drug or alcohol use,2015
18766,21,Male,Hispanic/Latino,Sugarland,TX,29.5914538,-95.6321929,Gunshot,Unknown,2015
18767,49,Male,European-American/White,Weymouth,MA,42.2566965,-70.9315849,Gunshot,Unknown,2015
18768,44,Male,European-American/White,Charles Town,WV,39.2925994,-77.89253,Gunshot,No,2015
18769,19,Male,African-American/Black,St. Louis,MO,38.6649101,-90.2501309,Gunshot,No,2015
18770,45,Male,European-American/White,Robinsonville,MS,34.8274631,-90.3283779,Gunshot,No,2015
18771,54,Male,European-American/White,Derry,NH,42.908086,-71.3366894,Gunshot,Yes,2015
18772,36,Male,European-American/White,Hemet,CA,33.7417065,-116.958603,Gunshot,No,2015
18773,36,Male,Hispanic/Latino,Chapeño,TX,26.561949,-99.1242441,Gunshot,No,2015
18774,25,Male,African-American/Black,Sierra Blanca,TX,31.1733708,-105.3574652,Gunshot,No,2015
18775,17,Female,European-American/White,Longview,TX,32.4952158,-94.7466202,Gunshot,No,2015
18776,29,Male,African-American/Black,Lauderhill,FL,26.150783,-80.2089979,Gunshot,No,2015
18777,61,Male,European-American/White,Austin,TX,30.1671859,-97.7885265,Gunshot,Yes,2015
18778,56,Male,Hispanic/Latino,Levelland,TX,33.5775561,-102.3691449,Gunshot,Unknown,2015
18779,50,Male,Race unspecified,Birmingham,AL,33.5392826,-86.793694,Vehicle,Unknown,2015
18780,26,Male,African-American/Black,Baltimore,MD,39.284467,-76.646863,Gunshot,No,2015
18781,45,Male,European-American/White,Rexburg,ID,43.8257117,-111.7787141,Gunshot,No,2015
18782,51,Male,European-American/White,Shaker Heights,OH,41.4806023,-81.5450547,Vehicle,No,2015
