FID,Station_name,CITY,STATE
20110,NORTH CAROLINA DIVISION OF PARKS  ,CHIMNEY ROCK,NC
20111,POLICIA MUNICIPAL DE SABANA GRANDE,SABANA GRANDE,PR
20112,WASHINGTON STATE POLICE  ,VANCOUVER,WA
20113,MADISON POLICE DEPARTMENT  ,MADISON,WI
20114,NEVADA DEPARTMENT OF PUBLIC SAFETY  ,EUREKA,NV
20115,RIVERTON POLICE DEPARTMENT,RIVERTON,NJ
20116,LONGPORT POLICE DEPARTMENT,LONGPORT,NJ
20117,NEVADA STATE FIRE MARSHAL,CARSON CITY,NV
20118,CARIBBEAN GANG TASK FORCE,CLEVELAND,OH
20119,DOUGLAS COUNTY SHERIFFS OFFICE  ,GARDNERVILLE,NV
20120,MONMOUTH UNIVERSITY POLICE DEPARTMENT,WEST LONG BRANCH,NJ
20121,WEST ELKTON POLICE DEPARTMENT,WEST ELKTON,OH
20122,MAGGIE VALLEY POLICE DEPARTMENT  ,MAGGIE VALLEY,NC
20123,CHERRY HILL POLICE DEPARTMENT,CHERRY HILL,NJ
20124,WEST AVENUE SCHOOL EDUCATIONAL ENFORCEMENT OFFICERS,BRIDGETON,NJ
20126,UNION CITY POLICE DEPARTMENT MIDTOWN PRECINCT,UNION CITY,NJ
20127,OHIO DEPARTMENT OF NATURAL RESOURCES  ,WAKEMAN,OH
20128,VIRGINIA UNION UNIVERSITY POLICE,RICHMOND,VA
20129,CLEVELAND DIVISION OF POLICE  ,CLEVELAND,OH
20130,MIDDLESEX POLICE DEPARTMENT,MIDDLESEX,NJ
20131,NEW PROVIDENCE POLICE DEPARTMENT,NEW PROVIDENCE,NJ
20132,NORFOLK SOUTHERN RAILWAY POLICE DEPARTMENT,CINCINNATI,OH
20133,EGG HARBOR TOWNSHIP POLICE DEPARTMENT,EGG HARBOR TOWNSHIP,NJ
20134,BELMONT POLICE DEPARTMENT,BELMONT,OH
20135,JERSEY CITY POLICE DEPARTMENT SOUTH DISTRICT,JERSEY CITY,NJ
20136,ADENA POLICE DEPARTMENT,ADENA,OH
20137,WINNEMUCCA POLICE DEPARTMENT,WINNEMUCCA,NV
20138,SYCAMORE TOWNSHIP POLICE DEPARTMENT,CINCINNATI,OH
20139,HAMILTON COUNTY SHERIFFS OFFICE PATROL  ,CINCINNATI,OH
20140,NEVADA LEGISLATIVE POLICE,CARSON CITY,NV
20141,HENDERSON POLICE DEPARTMENT  ,HENDERSON,NV
20142,HENDERSON POLICE DEPARTMENT  ,HENDERSON,NV
20143,WISCONSIN STATE HIGHWAY PATROL  ,DEFOREST,WI
20144,MEMPHIS POLICE DEPARTMENT  ,MEMPHIS,TN
20145,MEMPHIS POLICE DEPARTMENT  ,MEMPHIS,TN
20146,MEMPHIS POLICE DEPARTMENT  ,MEMPHIS,TN
20147,MONTGOMERY COUNTY SHERIFFS OFFICE  ,DAYTON,OH
20148,MONTGOMERY COUNTY SHERIFFS OFFICE  ,DAYTON,OH
20149,WEST MILLGROVE POLICE DEPARTMENT,WEST MILLGROVE,OH
20150,VILLAGE OF WAYNE POLICE DEPARTMENT,WAYNE,OH
20151,BRIGHAM YOUNG UNIVERSITY POLICE DEPARTMENT,PROVO,UT
20152,RISINGSUN POLICE DEPARTMENT,RISINGSUN,OH
20153,ROSWELL POLICE DEPARTMENT,NEW PHILADELPHIA,OH
20154,MISSOURI STATE HIGHWAY PATROL ZONE 4 OFFICE,TRENTON,MO
20155,MISSOURI STATE HIGHWAY PATROL TROOP F,JEFFERSON CITY,MO
20156,MISSOURI STATE HIGHWAY PATROL  ,HIGGINSVILLE,MO
20157,MISSOURI STATE HIGHWAY PATROL  ,MOUNT VERNON,MO
20158,OHIO STATE HIGHWAY PATROL  ,SOUTHINGTON,OH
20159,KING COUNTY DEPARTMENT OF ADULT AND JUVENILE DETENTION  ,KENT,WA
20160,VIRGINIA STATE POLICE DIVISION 1 AREA 3  ,WEST POINT,VA
20161,VIRGINIA STATE POLICE DIVISION 7 AREA 11  ,MANASSAS,VA
20162,NEW MATAMORAS POLICE DEPARTMENT,NEW MATAMORAS,OH
20163,SOUTHERN OHIO LAW ENFORCEMENT ,PORTSMOUTH,OH
20164,UNITED STATES 23 PIPELINE MAJOR CRIMES TASK FORCE,CHILLICOTHE,OH
20165,NORTH CAROLINA STATE HIGHWAY PATROL  ,RALEIGH,NC
20166,VIRGINIA STATE POLICE DIVISION 5 AREA 35  ,EMPORIA,VA
20167,NORTH CAROLINA STATE HIGHWAY PATROL TROOP B  ,CLARKTON,NC
20168,DRUG ABUSE REDUCTION TASK FORCE,CINCINNATI,OH
20169,COLUMBUS DIVISION OF POLICE  ,COLUMBUS,OH
20170,COLUMBUS DIVISION OF POLICE  ,COLUMBUS,OH
20171,VIRGINIA STATE POLICE DIVISION 2 AREA 5  ,FREDERICKSBURG,VA
20172,NEVADA DEPARTMENT OF PUBLIC SAFETY  ,PAHRUMP,NV
20173,STOREY COUNTY SHERIFFS OFFICE  ,LOCKWOOD,NV
20174,NEVADA DEPARTMENT OF PUBLIC SAFETY NEVADA HIGHWAY PATROL  ,LOVELOCK,NV
20175,KINSTON POLICE DEPARTMENT  ,KINSTON,NC
20176,KINSTON POLICE DEPARTMENT  ,KINSTON,NC
20177,KINSTON POLICE DEPARTMENT  ,KINSTON,NC
20178,MESQUITE POLICE DEPARTMENT  ,MESQUITE,NV
20179,VIRGINIA STATE POLICE DIVISION 7 AREA 9  ,FAIRFAX,VA
20180,NORTH LAS VEGAS POLICE DEPARTMENT  ,NORTH LAS VEGAS,NV
20181,LYON COUNTY SHERIFF  ,DAYTON,NV
20182,LYON COUNTY SHERIFF  ,SILVER SPRINGS,NV
20183,RENO MUNICIPAL COURT MARSHALS DIVISION,RENO,NV
20184,NORTHFIELD POLICE DEPARTMENT,NORTHFIELD,VT
20185,LAS VEGAS MUNICIPAL COURT MARSHALS OFFICE,LAS VEGAS,NV
20186,CITY OF LAS VEGAS DETENTION AND ENFORCEMENT,LAS VEGAS,NV
20187,ELKO COUNTY SHERIFFS OFFICE  ,WELLS,NV
20188,LAS VEGAS METROPOLITAN POLICE DEPARTMENT  ,LAS VEGAS,NV
20189,VIRGINIA STATE POLICE DIVISION 1 AREA 8  ,RICHMOND,VA
20190,UNIVERSITY OF NEVADA LAS VEGAS POLICE DEPARTMENT,LAS VEGAS,NV
20191,DAYTON POLICE DEPARTMENT  ,DAYTON,OH
20192,SHERWOOD VILLAGE POLICE DEPARTMENT,SHERWOOD,OH
20193,VIRGINIA STATE POLICE DIVISION 7 AREA 48  ,SPRINGFIELD,VA
20194,VIRGINIA STATE POLICE DIVISION 6 HEADQUARTERS  ,SALEM,VA
20195,MONTGOMERY COUNTY SHERIFFS DEPARTMENT  ,DAYTON,OH
20196,VIRGINIA STATE POLICE DIVISION 1 AREA 2  ,WARSAW,VA
20197,VIRGINIA STATE POLICE DIVISION 6 AREA 39  ,NATURAL BRIDGE,VA
20198,CARROLL POLICE DEPARTMENT,CARROLL,OH
20199,OHIO STATE HIGHWAY PATROL  ,LANCASTER,OH
20200,CHERRY HILL SCHOOL  ,CHERRY HILL,NJ
20201,CHERRY HILL SCHOOL  ,CHERRY HILL,NJ
20202,GUILFORD COUNTY SHERIFFS DEPARTMENT  ,GREENSBORO,NC
20203,GUILFORD COUNTY SHERIFFS DEPARTMENT  ,JAMESTOWN,NC
20204,CENTRAL CAROLINA COMMUNITY COLLEGE  ,SILER CITY,NC
20205,CITY OF DURHAM POLICE DEPARTMENT  ,DURHAM,NC
20206,MINNESOTA STATE FAIR POLICE DEPARTMENT,SAINT PAUL,MN
20207,CITY OF DURHAM POLICE DEPARTMENT  ,DURHAM,NC
20208,CITY OF DURHAM POLICE DEPARTMENT  ,DURHAM,NC
20209,JEFFERSON COUNTY SHERIFF  ,IMPERIAL,MO
20210,JEFFERSON COUNTY SHERIFF  ,HILLSBORO,MO
20211,JOHNSONVILLE STATE PARK RANGER STATION,NEW JOHNSONVILLE,TN
20212,CUMBERLAND TRAIL STATE PARK RANGER STATION,CARYVILLE,TN
20213,WASHINGTON STATE PATROL  ,KELSO,WA
20214,VIRGINIA STATE POLICE DIVISION 3 AREA 21  ,APPOMATTOX,VA
20215,DAVID CROCKETT STATE PARK RANGER STATION,LAWRENCEBURG,TN
20216,DAVY CROCKETT BIRTHPLACE STATE PARK RANGER STATION,LIMESTONE,TN
20217,YORK-POQUOSON SHERIFFS OFFICE,YORKTOWN,VA
20218,DARE COUNTY SHERIFFS DEPARTMENT  ,KILL DEVIL HILLS,NC
20219,ALCOHOLIC BEVERAGE CONTROL LAW ENFORCEMENT  ,CHARLOTTE,NC
20220,ALCOHOLIC BEVERAGE CONTROL LAW ENFORCEMENT  ,DURHAM,NC
20221,ALCOHOLIC BEVERAGE CONTROL LAW ENFORCEMENT  ,WILMINGTON,NC
20222,ALCOHOLIC BEVERAGE CONTROL LAW ENFORCEMENT  ,CHARLOTTE,NC
20223,DEPARTMENT OF NATURAL RESOURCES  ,WEBSTER,WI
20224,UNIVERSITY OF MEDICINE AND DENTISTRY PUBLIC SAFETY,NEWARK,NJ
20225,SAINT LOUIS COUNTY POLICE DEPARTMENT  ,FENTON,MO
20226,EDGAR EVINS STATE PARK RANGER STATION,SILVER POINT,TN
20227,FARGO POLICE DEPARTMENT  ,FARGO,ND
20228,NEWTON TOWNSHIP POLICE DEPARTMENT,NEWTON FALLS,OH
20229,BURLINGTON NORTHERN SANTA FE RAILWAY POLICE,SEATTLE,WA
20230,FAYETTE COUNTY SHERIFFS OFFICE  ,DANESE,WV
20231,FAYETTE COUNTY SHERIFFS OFFICE  ,SMITHERS,WV
20232,FLEMING PARK BLUE SPRINGS  ,BLUE SPRINGS,MO
20233,CALHOUN COUNTY SHERIFFS OFFICE  ,MINNORA,WV
20234,GROVER HILL POLICE DEPARTMENT,GROVER HILL,OH
20235,MORRIS POLICE DEPARTMENT,MORRIS,MN
20236,STILLWATER TOWNSHIP POLICE DEPARTMENT,STILLWATER,MN
20237,SOUTH DAKOTA HIGHWAY PATROL  ,ABERDEEN,SD
20238,FAYAL POLICE DEPARTMENT,EVELETH,MN
20239,FOSSTON POLICE DEPARTMENT,FOSSTON,MN
20240,SAINT PAUL POLICE DEPARTMENT  ,SAINT PAUL,MN
20241,SAINT PAUL POLICE DEPARTMENT  ,SAINT PAUL,MN
20242,SAINT PAUL POLICE DEPARTMENT  ,SAINT PAUL,MN
20243,JORDAN POLICE DEPARTMENT,JORDAN,MN
20244,ABERDEEN POLICE DEPARTMENT,ABERDEEN,SD
20245,HENDRUM POLICE DEPARTMENT,HENDRUM,MN
20246,FERTILE POLICE DEPARTMENT,FERTILE,MN
20247,MINNESOTA DEPARTMENT OF CORRECTIONS  ,SAINT PAUL,MN
20248,CITY OF CLIMAX POLICE DEPARTMENT,CLIMAX,MN
20249,MINNESOTA STATE PATROL DIVISION 2100,ROCHESTER,MN
20250,OTTER TAIL COUNTY SHERIFF OFFICE  ,OTTERTAIL,MN
20251,SAINT CLOUD POLICE DEPARTMENT,SAINT CLOUD,MN
20252,ROBERTS COUNTY SHERIFFS OFFICE  ,SISSETON,SD
20253,MINNESOTA STATE HIGHWAY PATROL  ,THIEF RIVER FALLS,MN
20254,SOLDIERS GROVE POLICE DEPARTMENT,SOLDIERS GROVE,WI
20255,ALBION TOWNSHIP POLICE DEPARTMENT,EDGERTON,WI
20256,BLUE MOUNDS TOWNSHIP POLICE DEPARTMENT,MOUNT HOREB,WI
20257,MINNEAPOLIS POLICE DEPARTMENT  ,MINNEAPOLIS,MN
20258,MINNESOTA DEPARTMENT OF PUBLIC SAFETY  ,GOLDEN VALLEY,MN
20259,MINNEAPOLIS POLICE DEPARTMENT  ,MINNEAPOLIS,MN
20260,MINNEAPOLIS POLICE DEPARTMENT  ,MINNEAPOLIS,MN
20261,MINNEAPOLIS POLICE DEPARTMENT  ,MINNEAPOLIS,MN
20262,DUNNELL POLICE DEPARTMENT,DUNNELL,MN
20263,NEVIS POLICE DEPARTMENT,NEVIS,MN
20264,WAUBUN POLICE DEPARTMENT,WAUBUN,MN
20265,HENDRICKS POLICE DEPARTMENT,HENDRICKS,MN
20266,MINNEAPOLIS POLICE DEPARTMENT  ,MINNEAPOLIS,MN
20267,WAUPUN CORRECTIONAL INSTITUTION,WAUPUN,WI
20268,COLUMBUS DIVISION OF POLICE  ,COLUMBUS,OH
20269,COLUMBUS DIVISION OF POLICE  ,COLUMBUS,OH
20270,CALLAWAY/OGEMA POLICE DEPARTMENT,CALLAWAY,MN
20271,SHERBURN WELCOME POLICE DEPARTMENT  ,SHERBURN,MN
20272,COLUMBUS DIVISION OF POLICE  ,COLUMBUS,OH
20273,FOUNTAIN POLICE DEPARTMENT,FOUNTAIN,MN
20274,COLUMBUS DIVISION OF POLICE  ,COLUMBUS,OH
20275,WISCONSIN STATE PATROL  ,WAUKESHA,WI
20276,WISCONSIN STATE PATROL FOND DU LAC POST,FOND DU LAC,WI
20277,WISCONSIN STATE PATROL NORTH CENTRAL REGION WAUSAU POST,WAUSAU,WI
20278,MEDICINE PARK POLICE DEPARTMENT,ELGIN,OK
20279,MUSKOGEE POLICE DEPARTMENT,MUSKOGEE,OK
20280,CUARTEL DE LA POLICIA  ,HORMIGUEROS,PR
20281,OKLAHOMA HIGHWAY PATROL  ,MUSKOGEE,OK
20282,OKLAHOMA CITY POLICE DEPARTMENT,OKLAHOMA CITY,OK
20283,OKLAHOMA STATE OF BUREAU OF NARCOTIC AND DANGEROUS DRUGS CONTROL,LAWTON,OK
20284,NORTH CAROLINA STATE HIGHWAY PATROL  ,BENSON,NC
20285,MCALESTER POLICE DEPARTMENT,MCALESTER,OK
20286,SOUTH DAKOTA DEPARTMENT OF CORRECTIONS  ,HURON,SD
20287,THE VILLAGE OF STODDARD POLICE DEPARTMENT,STODDARD,WI
20288,OKLAHOMA UNIVERSITY HEALTH SCIENCES POLICE DEPARTMENT,OKLAHOMA CITY,OK
20289,BENNINGTON POLICE DEPARTMENT,BENNINGTON,NE
20290,CUARTEL DE LA POLICIA  ,CIDRA,PR
20291,COLUMBUS DIVISION OF POLICE  ,COLUMBUS,OH
20292,COLUMBUS DIVISION OF POLICE  ,COLUMBUS,OH
20293,COLUMBUS DIVISION OF POLICE  ,WESTERVILLE,OH
20294,LOWELL POLICE DEPARTMENT,LOWELL,WI
20295,LOOMIS POLICE DEPARTMENT,LOOMIS,NE
20296,MADISON POLICE DEPARTMENT,MADISON,NE
20297,NEBRASKA STATE PATROL TROOP B  ,NORFOLK,NE
20298,MINATARE POLICE DEPARTMENT,MINATARE,NE
20299,MORRILL POLICE DEPARTMENT,MORRILL,NE
20300,SAINT PAUL POLICE DEPARTMENT  ,SAINT PAUL,MN
20301,FARIBAULT POLICE DEPARTMENT,FARIBAULT,MN
20302,WINNEBAGO POLICE DEPARTMENT,WINNEBAGO,NE
20303,HUMPHREY POLICE DEPARTMENT,HUMPHREY,NE
20304,OSMOND POLICE DEPARTMENT,OSMOND,NE
20305,PLAINVIEW POLICE DEPARTMENT,PLAINVIEW,NE
20306,NEW AUBURN POLICE DEPARTMENT,NEW AUBURN,WI
20307,OAKFIELD POLICE DEPARTMENT,OAKFIELD,WI
20308,BAYARD POLICE DEPARTMENT,BAYARD,NE
20309,NEBRASKA STATE PATROL TROOP E  ,SCOTTSBLUFF,NE
20310,ELKO NEW MARKET POLICE DEPARTMENT,ELKO,MN
20311,LAKE PRESTON POLICE DEPARTMENT,LAKE PRESTON,SD
20312,BELLEVUE POLICE DEPARTMENT  ,BELLEVUE,NE
20313,NORTH CAROLINA STATE HIGHWAY PATROL  ,WINSTON SALEM,NC
20314,LA FARGE POLICE DEPARTMENT,LA FARGE,WI
20315,BEAVER COUNTY SHERIFFS DEPARTMENT  ,BEAVER,OK
20316,TODD COUNTY SHERIFFS DEPARTMENT,MISSION,SD
20317,MEAD POLICE DEPARTMENT,MEAD,NE
20318,SUTTON POLICE DEPARTMENT,SUTTON,NE
20319,VALLEY POLICE DEPARTMENT,VALLEY,NE
20320,HEMINGFORD POLICE DEPARTMENT,HEMINGFORD,NE
20321,HARTINGTON POLICE DEPARTMENT,HARTINGTON,NE
20322,ADAMS COUNTY SHERIFFS OFFICE  ,HASTINGS,NE
20323,DOUGLAS COUNTY SHERIFFS OFFICE  ,OMAHA,NE
20324,ALLIANCE POLICE DEPARTMENT,ALLIANCE,NE
20325,EXETER POLICE DEPARTMENT,EXETER,NE
20326,DAKOTA COUNTY SHERIFF OFFICE,SOUTH SIOUX CITY,NE
20327,BUFFALO COUNTY SHERIFFS OFFICE,KEARNEY,NE
20328,BURWELL POLICE DEPARTMENT,BURWELL,NE
20329,ONEILL POLICE DEPARTMENT,O'NEILL,NE
20330,NEBRASKA STATE PATROL  ,LINCOLN,NE
20331,NEBRASKA STATE PATROL  ,LINCOLN,NE
20332,UNION PACIFIC RAILROAD POLICE DEPARTMENT,OMAHA,NE
20333,NEBRASKA STATE PATROL  ,GRAND ISLAND,NE
20334,NEBRASKA STATE PATROL  ,SIDNEY,NE
20335,LYONS POLICE DEPARTMENT,LYONS,NE
20336,NELIGH POLICE DEPARTMENT,NELIGH,NE
20337,COLERIDGE POLICE DEPARTMENT,COLERIDGE,NE
20338,BANCROFT POLICE DEPARTMENT,BANCROFT,NE
20339,BURLINGTON NORTHERN SANTA FE RAILROAD POLICE,OMAHA,NE
20340,HILDRETH POLICE DEPARTMENT,HILDRETH,NE
20341,ATKINSON POLICE DEPARTMENT,ATKINSON,NE
20342,RAVENNA POLICE DEPARTMENT,RAVENNA,NE
20343,SCRIBNER POLICE DEPARTMENT,SCRIBNER,NE
20344,NEBRASKA STATE PATROL TROOP D  ,NORTH PLATTE,NE
20345,NEBRASKA STATE PATROL  ,OMAHA,NE
20346,OMAHA POLICE DEPARTMENT  ,OMAHA,NE
20347,OMAHA POLICE DEPARTMENT  ,OMAHA,NE
20348,GORDON POLICE DEPARTMENT,GORDON,NE
20349,OMAHA POLICE DEPARTMENT  ,OMAHA,NE
20350,OMAHA POLICE DEPARTMENT  ,OMAHA,NE
20351,CLARKSON POLICE DEPARTMENT,CLARKSON,NE
20352,TEKAMAH POLICE DEPARTMENT,TEKAMAH,NE
20353,DIXON COUNTY SHERIFFS DEPARTMENT SUBSTATION  ,WAKEFIELD,NE
20354,SHELTON POLICE DEPARTMENT,SHELTON,NE
20355,CERESCO POLICE DEPARTMENT,CERESCO,NE
20356,D-TAC DEFENSE SYSTEMS,COLUMBUS,NE
20357,MILFORD POLICE DEPARTMENT,MILFORD,NE
20358,WISNER POLICE DEPARTMENT,WISNER,NE
20359,HARVARD POLICE DEPARTMENT,HARVARD,NE
20360,HOWELLS POLICE DEPARTMENT,HOWELLS,NE
20361,TILDEN POLICE DEPARTMENT,TILDEN,NE
20362,BLOOMFIELD POLICE DEPARTMENT,BLOOMFIELD,NE
20363,CREIGHTON POLICE DEPARTMENT,CREIGHTON,NE
20364,CROFTON POLICE DEPARTMENT,CROFTON,NE
20365,ELGIN POLICE DEPARTMENT,ELGIN,NE
20366,SAINT EDWARD POLICE DEPARTMENT,SAINT EDWARD,NE
20367,NIOBRARA POLICE DEPARTMENT,NIOBRARA,NE
20368,VERDIGRE POLICE DEPARTMENT,VERDIGRE,NE
20369,IMPERIAL POLICE DEPARTMENT,IMPERIAL,NE
20370,BURLINGTON NORTHERN SANTA FE RAILROAD POLICE DEPARTMENT,ALLIANCE,NE
20371,BEEMER POLICE DEPARTMENT,BEEMER,NE
20372,BURLINGTON NORTHERN SANTA FE RAILROAD POLICE  ,LINCOLN,NE
20373,MINDEN POLICE DEPARTMENT,MINDEN,NE
20374,DELMONT POLICE DEPARTMENT,DELMONT,SD
20375,DANE COUNTY SHERIFFS OFFICE  ,VERONA,WI
20376,NEVADA DEPARTMENT OF PUBLIC SAFETY  ,WELLS,NV
20377,PONTOTOC COUNTY SHERIFFS OFFICE  ,ADA,OK
20378,CUARTEL DE LA UNIDAD MONTADA PINONES,LOIZA,PR
20379,WILLIAM SHAFFER KEY CORRECTIONAL CENTER,FORT SUPPLY,OK
20380,TULSA COUNTY SHERIFFS OFFICE  ,TULSA,OK
20381,TULSA COUNTY SHERIFFS OFFICE  ,TULSA,OK
20382,SOUTH DAKOTA HIGHWAY PATROL  ,PIERRE,SD
20383,SOUTH DAKOTA HIGHWAY PATROL  ,PIERRE,SD
20384,PRECINTO 132  ,GUAYNABO,PR
20385,POLICIA MUNICIPAL DE GUAYNABO  ,GUAYNABO,PR
20386,PRECINTO 232  ,GUAYNABO,PR
20387,CUARTEL DE LA POLICIA ESTATAL  ,AGUAS BUENAS,PR
20388,POLICIA MUNICIPAL DE CABO ROJO,CABO ROJO,PR
20389,NORTH MIAMI POLICE DEPARTMENT,MIAMI,OK
20390,SOUTH DAKOTA HIGHWAY PATROL  ,HURON,SD
20391,MIAMI POLICE DEPARTMENT,MIAMI,OK
20392,AVANT POLICE DEPARTMENT,AVANT,OK
20393,WEBBERS FALLS POLICE DEPARTMENT,GORE,OK
20394,VELMA POLICE DEPARTMENT,VELMA,OK
20395,OKLAHOMA BAPTIST UNIVERSITY POLICE DEPARTMENT,SHAWNEE,OK
20396,OKMULGEE POLICE DEPARTMENT,OKMULGEE,OK
20397,BURNS FLAT POLICE DEPARTMENT,FOSS,OK
20398,SHAWNEE POLICE DEPARTMENT,SHAWNEE,OK
20399, ,SHAWNEE,OK
20400,TULSA POLICE DEPARTMENT  ,TULSA,OK
20401,OKLAHOMA HIGHWAY PATROL  ,GUYMON,OK
20402,OKLAHOMA HIGHWAY PATROL  ,DURANT,OK
20403,TULSA POLICE DEPARTMENT  ,TULSA,OK
20404,TULSA PUBLIC SCHOOLS CAMPUS POLICE DEPARTMENT,TULSA,OK
20405,COMMERCE POLICE DEPARTMENT,COMMERCE,OK
20406,SEMINOLE CITY JAIL,SEMINOLE,OK
20407,PAWNEE COUNTY SHERIFFS OFFICE  ,CLEVELAND,OK
20408,FORT SUPPLY POLICE DEPARTMENT,FORT SUPPLY,OK
20409,DUNCAN POLICE DEPARTMENT,DUNCAN,OK
20410,STILLWATER POLICE DEPARTMENT,STILLWATER,OK
20411,OKMULGEE SHERIFFS OFFICE  ,OKMULGEE,OK
20412,JENKS POLICE DEPARTMENT,JENKS,OK
20413,LANGSTON POLICE DEPARTMENT,COYLE,OK
20414,BIG CABIN POLICE DEPARTMENT,BIG CABIN,OK
20415,LAHOMA POLICE DEPARTMENT,LAHOMA,OK
20416,LONE WOLF POLICE DEPARTMENT,LONE WOLF,OK
20417,ARDMORE POLICE DEPARTMENT,ARDMORE,OK
20418,ENID POLICE DEPARTMENT,ENID,OK
20419,VERDIGRIS POLICE DEPARTMENT,CLAREMORE,OK
20420,ARAPAHO POLICE DEPARTMENT,ARAPAHO,OK
20421,OKLAHOMA DEPARTMENT OF CORRECTIONS  ,LEXINGTON,OK
20422,OKLAHOMA DEPARTMENT OF CORRECTIONS  ,LEXINGTON,OK
20423,OKLAHOMA HIGHWAY PATROL TROOP F,ARDMORE,OK
20424,OKLAHOMA HIGHWAY PATROL TROOP H,CLINTON,OK
20425,NORTH PRAIRIE POLICE DEPARTMENT,NORTH PRAIRIE,WI
20426,COVINGTON POLICE DEPARTMENT,COVINGTON,OK
20427,HUGO POLICE DEPARTMENT,HUGO,OK
20428,GARFIELD COUNTY SHERIFFS OFFICE,ENID,OK
20429,BUFFALO POLICE DEPARTMENT,BUFFALO,OK
20430,OKLAHOMA HIGHWAY PATROL  ,MCALESTER,OK
20431,COLUMBUS DIVISION OF POLICE  ,COLUMBUS,OH
20432,COLUMBUS DIVISION OF POLICE  ,COLUMBUS,OH
20433,SPARKS POLICE DEPARTMENT,SPARKS,OK
20434,CUARTEL DE LA POLICIA  ,DORADO,PR
20435,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,LAS VEGAS,NV
20436,DIBBLE POLICE DEPARTMENT,BLANCHARD,OK
20437,PANAMA POLICE DEPARTMENT,BOKOSHE,OK
20438,BLAINE COUNTY SHERIFFS OFFICE  ,LONGDALE,OK
20439,MCINTOSH COUNTY SHERIFFS DEPARTMENT  ,EUFAULA,OK
20440,SPORTSMEN ACRES POLICE DEPARTMENT,PRYOR,OK
20441,CREEK COUNTY SHERIFFS OFFICE,SAPULPA,OK
20442,CREEK COUNTY CRIMINAL JUSTICE CENTER,TULSA,OK
20443,COLUMBUS DIVISION OF POLICE  ,COLUMBUS,OH
20444,OAKLAND TOWNSHIP POLICE DEPARTMENT,CAMBRIDGE,WI
20445,NEBRASKA STATE PATROL  ,CHADRON,NE
20446,WEST VIRGINIA STATE POLICE TROOP 5  ,GILBERT,WV
20447,BUREAU OF INDIAN AFFAIRS LAW ENFORCEMENT SUBSTATION,MCDERMITT,NV
20448,SOUTH DAKOTA HIGHWAY PATROL  ,VALLEY SPRINGS,SD
20449,SOUTH DAKOTA HIGHWAY PATROL  ,SISSETON,SD
20450,SOUTH DAKOTA HIGHWAY PATROL  ,ELK POINT,SD
20451,MINNESOTA RIVER VALLEY JUVENILE DETENTION CENTER,NEW ULM,MN
20452,UTAH HIGHWAY PATROL  ,ROOSEVELT,UT
20453,BONESTEEL POLICE DEPARTMENT,BONESTEEL,SD
20454,WAUKESHA COUNTY SHERIFFS DEPARTMENT  ,SUSSEX,WI
20455,MILWAUKEE POLICE DEPARTMENT  ,MILWAUKEE,WI
20456,MILWAUKEE COUNTY SHERIFFS OFFICE  ,WAUWATOSA,WI
20457,MILWAUKEE COUNTY SHERIFFS OFFICE COUNTY CORRECTIONAL FACILITY  ,FRANKLIN,WI
20458,MILWAUKEE COUNTY SHERIFFS OFFICE COUNTY CORRECTIONAL FACILITY  ,MILWAUKEE,WI
20459,LINDEN POLICE DEPARTMENT,LINDEN,WI
20460,MILWAUKEE POLICE DEPARTMENT  ,MILWAUKEE,WI
20461,OKLAHOMA HIGHWAY PATROL,VINITA,OK
20462,WISCONSIN STATE PATROL SOUTHWEST REGION  ,TOMAH,WI
20463,MILWAUKEE POLICE DEPARTMENT  ,MILWAUKEE,WI
20464,MILWAUKEE POLICE DEPARTMENT  ,MILWAUKEE,WI
20465,MILWAUKEE POLICE DEPARTMENT  ,MILWAUKEE,WI
20466,MILWAUKEE COUNTY SHERIFFS OFFICE  ,MILWAUKEE,WI
20467,MILWAUKEE POLICE DEPARTMENT  ,MILWAUKEE,WI
20468,SOUTH DAKOTA HIGHWAY PATROL  ,STURGIS,SD
20469,BLAKESLEE POLICE DEPARTMENT,BLAKESLEE,OH
20470,WILBERFORCE UNIVERSITY POLICE DEPARTMENT,WILBERFORCE,OH
20471,BLUE EARTH COUNTY SHERIFFS OFFICE  ,MANKATO,MN
20472,WILMOT POLICE DEPARTMENT,WILMOT,SD
20473,OKLAHOMA STATE HIGHWAY PATROL  ,OKLAHOMA CITY,OK
20474,NEBRASKA STATE PATROL  ,AINSWORTH,NE
20475,RACINE POLICE DEPARTMENT COMMUNITY ORIENTED POLICING OFFICE  ,RACINE,WI
20476,UTAH HIGHWAY PATROL  ,WENDOVER,UT
20477,NEVADA DEPARTMENT OF PUBLIC SAFETY  ,RENO,NV
20478,UTAH HIGHWAY PATROL  ,SALT LAKE CITY,UT
20479,NEBRASKA STATE PATROL  ,O'NEILL,NE
20480,POLICIA DE MUNICIPAL DE RINCON,RINCON,PR
20481,CUARTEL DE LA POLICIA ESTATAL  ,SABANA GRANDE,PR
20482,POLICIA MUNICIPAL DE OROCOVIS,OROCOVIS,PR
20483,CUARTEL DE LA POLICIA ESTATAL  ,TRUJILLO ALTO,PR
20484,DESTACAMENTO DE POLICIA MAMEYES,UTUADO,PR
20485,CUARTEL DE LA POLICIA ESTATAL  ,VEGA ALTA,PR
20486,CUARTEL DE LA POLICIA  ,VIEQUES,PR
