FID,Station_name,CITY,STATE
5518,RITCHIE COUNTY SHERIFFS OFFICE,HARRISVILLE,WV
5519,MENOMONEE FALLS POLICE DEPARTMENT,MENOMONEE FALLS,WI
5520,TRENTON POLICE DEPARTMENT,WEST BEND,WI
5521,EDON POLICE DEPARTMENT,EDON,OH
5522,GRAFTON POLICE DEPARTMENT,GRAFTON,NH
5523,RICHLAND COUNTY SHERIFFS DEPARTMENT  ,WAHPETON,ND
5524,OMAK POLICE DEPARTMENT,OMAK,WA
5525,MACON COUNTY SHERIFFS DEPARTMENT  ,FRANKLIN,NC
5526,HENDERSONVILLE POLICE DEPARTMENT,HENDERSONVILLE,TN
5527,PIERCE TOWNSHIP POLICE DEPARTMENT,CINCINNATI,OH
5528,STOCKTON POLICE DEPARTMENT,STOCKTON,UT
5529,KNOX COUNTY SHERIFFS OFFICE  ,KNOXVILLE,TN
5530,CLYDE POLICE DEPARTMENT,CLYDE,OH
5531,WEBSTER COUNTY SHERIFFS OFFICE  ,MARSHFIELD,MO
5532,ISSAQUAH POLICE DEPARTMENT,ISSAQUAH,WA
5533,MATOAKA POLICE DEPARTMENT,MATOAKA,WV
5534,CODY POLICE DEPARTMENT,CODY,WY
5535,EXCELSIOR SPRINGS POLICE DEPARTMENT,EXCELSIOR SPRINGS,MO
5536,GUTTENBERG POLICE DEPARTMENT,GUTTENBERG,NJ
5537,BOROUGH OF ROSELAND POLICE DEPARTMENT,ROSELAND,NJ
5538,PINEVILLE POLICE DEPARTMENT,PINEVILLE,WV
5539,WHITE HOUSE POLICE DEPARTMENT,WHITE HOUSE,TN
5540,CHAMPLIN POLICE DEPARTMENT,CHAMPLIN,MN
5541,DUENWEG POLICE DEPARTMENT,DUENWEG,MO
5542,LEBANON POLICE DEPARTMENT,LEBANON,TN
5543,MUNFORD POLICE DEPARTMENT,MUNFORD,TN
5544,DOVER POLICE DEPARTMENT,DOVER,TN
5545,MAYNARDVILLE POLICE DEPARTMENT,MAYNARDVILLE,TN
5546,RIVESVILLE POLICE DEPARTMENT,RIVESVILLE,WV
5547,SIBLEY COUNTY SHERIFFS DEPARTMENT  ,GAYLORD,MN
5548,TOWN OF ROSE HILL POLICE DEPARTMENT,ROSEHILL,NC
5549,ENFIELD POLICE DEPARTMENT,ENFIELD,NC
5550,KEYPORT POLICE DEPARTMENT,KEYPORT,NJ
5551,TOOLE COUNTY SHERIFFS DEPARTMENT  ,SHELBY,MT
5552,WHITEFISH POLICE DEPARTMENT,WHITEFISH,MT
5553,GOLDEN VALLEY COUNTY SHERIFFS OFFICE,RYEGATE,MT
5554,PRESTON POLICE DEPARTMENT,PRESTON,MN
5555,ADAMS COUNTY SHERIFFS DEPARTMENT  ,HETTINGER,ND
5556,WASATCH COUNTY SHERIFFS OFFICE  ,HEBER,UT
5557,DUNBAR POLICE DEPARTMENT,DUNBAR,WV
5558,CORCORAN POLICE DEPARTMENT,CORCORAN,MN
5559,CAPE CARTERET POLICE DEPARTMENT,CAPE CARTERET,NC
5560,ADAIR COUNTY SHERIFFS DEPARTMENT  ,KIRKSVILLE,MO
5561,HOLT POLICE DEPARTMENT,HOLT,MO
5562,LEWIS AND CLARK COUNTY SHERIFFS OFFICE  ,HELENA,MT
5563,TOWN OF MOUNT GILEAD POLICE DEPARTMENT,MOUNT GILEAD,NC
5564,EDGECOMBE COUNTY SHERIFFS OFFICE  ,TARBORO,NC
5565,PERRY POLICE DEPARTMENT,PERRY,MO
5566,RICHLAND POLICE DEPARTMENT,RICHLAND,MO
5567,ALTON POLICE DEPARTMENT,ALTON,MO
5568,CITY OF PINE LAWN POLICE DEPARTMENT,SAINT LOUIS,MO
5569,WINNEBAGO POLICE DEPARTMENT,WINNEBAGO,MN
5570,CONTINENTAL POLICE DEPARTMENT,CONTINENTAL,OH
5571,GLADSTONE DEPARTMENT OF PUBLIC SAFETY,GLADSTONE,MO
5572,UPTON POLICE DEPARTMENT,UPTON,WY
5573,AURORA POLICE DEPARTMENT,AURORA,NC
5574,SARCOXIE POLICE DEPARTMENT,SARCOXIE,MO
5575,VILLAGE OF MUKWONAGO POLICE DEPARTMENT,MUKWONAGO,WI
5576,GRANBY POLICE DEPARTMENT,GRANBY,MO
5577,VILLAGE OF WINNECONNE POLICE DEPARTMENT,WINNECONNE,WI
5578,BROOKVILLE POLICE DEPARTMENT,BROOKVILLE,OH
5579,WEATHERSFIELD POLICE DEPARTMENT,ASCUTNEY,VT
5580,EDEN POLICE DEPARTMENT,EDEN,NC
5581,WEBSTER POLICE DEPARTMENT,WEBSTER,WI
5582,CAMBRIA POLICE DEPARTMENT,CAMBRIA,WI
5583,PULASKI POLICE DEPARTMENT,PULASKI,WI
5584,LIVINGSTON COUNTY SHERIFFS DEPARTMENT  ,CHILLICOTHE,MO
5585,LIBERAL POLICE DEPARTMENT,LIBERAL,MO
5586,LINCOLN POLICE DEPARTMENT,LINCOLN,MO
5587,JOHNSON COUNTY SHERIFFS DEPARTMENT  ,WARRENSBURG,MO
5588,COLUMBIA POLICE DEPARTMENT,COLUMBIA,MO
5589,KAHOKA POLICE DEPARTMENT,KAHOKA,MO
5590,WALNUT GROVE POLICE DEPARTMENT,WALNUT GROVE,MO
5591,GARY POLICE DEPARTMENT,GARY,WV
5592,WILBUR POLICE DEPARTMENT,WILBUR,WA
5593,LYNDONVILLE POLICE DEPARTMENT,LYNDONVILLE,VT
5594,ASHER CITY POLICE DEPARTMENT,ASHER,OK
5595,COLFAX POLICE DEPARTMENT,COLFAX,WI
5596,CLEVELAND HEIGHTS DIVISION OF POLICE,CLEVELAND HEIGHTS,OH
5597,LAFAYETTE COUNTY SHERIFFS DEPARTMENT  ,DARLINGTON,WI
5598,FAIR GROVE POLICE DEPARTMENT,FAIR GROVE,MO
5599,JAMES MADISON UNIVERSITY POLICE AND PUBLIC SAFETY,HARRISONBURG,VA
5600,PIERCE CITY POLICE DEPARTMENT,PIERCE CITY,MO
5601,CHESTER TOWNSHIP POLICE DEPARTMENT,CHESTERLAND,OH
5602,SPRINGFIELD TOWNSHIP POLICE DEPARTMENT,NEW SPRINGFIELD,OH
5603,BUTLER POLICE DEPARTMENT,BUTLER,NJ
5604,DANE COUNTY SHERIFFS OFFICE,MADISON,WI
5605,MARLINTON POLICE DEPARTMENT,MARLINTON,WV
5606,HOT SPRINGS POLICE DEPARTMENT,HOT SPRINGS,NC
5607,MCINTOSH COUNTY SHERIFFS DEPARTMENT,ASHLEY,ND
5608,PALISADES PARK POLICE DEPARTMENT,PALISADES PARK,NJ
5609,OCEAN CITY POLICE DEPARTMENT,OCEAN CITY,NJ
5610,MADEIRA POLICE DEPARTMENT,CINCINNATI,OH
5611,BEULAVILLE POLICE DEPARTMENT,BEULAVILLE,NC
5612,DESHLER POLICE DEPARTMENT,DESHLER,OH
5613,WARSAW POLICE DEPARTMENT,WARSAW,NC
5614,SAINT BERNARD POLICE DEPARTMENT,SAINT BERNARD,OH
